tool_id,name,canonical_slug,primary_category,secondary_categories,kind,capabilities,execution_mode,risk_tier,wave,status,feature_flag,policy_family,reviewer_role
margin-calculator,Margin Calculator,margin-calculator,business,,calculator,download-csv,local-only,A,baseline,covered,none,business-methods,domain-engine-reviewer
markup-calculator,Markup Calculator,markup-calculator,business,,calculator,download-csv,local-only,A,baseline,covered,none,business-methods,domain-engine-reviewer
break-even-calculator,Break-even Calculator,break-even-calculator,business,,calculator,download-csv,local-only,A,baseline,covered,none,business-methods,domain-engine-reviewer
roi-calculator,ROI Calculator,roi-calculator,business,,calculator,none,local-only,A,baseline,covered,none,business-methods,domain-engine-reviewer
pricing-calculator,Pricing Calculator,pricing-calculator,business,ecommerce,worksheet,download-csv,local-only,B,baseline,covered,none,business-methods,business-domain-reviewer
cash-flow-calculator,Cash Flow Calculator,cash-flow-calculator,business,startup,worksheet,download-csv,local-only,B,baseline,covered,none,business-methods,business-domain-reviewer
runway-calculator,Runway Calculator,runway-calculator,startup,business,calculator,download-csv,local-only,B,baseline,covered,none,startup-metrics,business-domain-reviewer
gst-calculator,GST Calculator,gst-calculator,gst-tax,,calculator,none,local-only,D,baseline,covered,none,gst,ca-tax-reviewer
income-tax-calculator,Income Tax Calculator,income-tax-calculator,gst-tax,hr-salary,calculator,print-a4,local-only,D,baseline,covered,phase4-tax-review,income-tax,ca-tax-reviewer
tds-calculator,TDS Calculator,tds-calculator,gst-tax,hr-salary,calculator,print-a4,local-only,D,baseline,covered,phase4-tax-review,income-tax,ca-tax-reviewer
hra-calculator,HRA Calculator,hra-calculator,hr-salary,gst-tax,calculator,print-a4,local-only,D,baseline,covered,phase4-tax-review,income-tax,ca-tax-reviewer
corporate-tax-calculator,Corporate Tax Calculator,corporate-tax-calculator,gst-tax,business,calculator,print-a4,local-only,D,baseline,covered,phase4-tax-review,income-tax,ca-tax-reviewer
presumptive-tax-calculator,Presumptive Tax Calculator,presumptive-tax-calculator,gst-tax,business,worksheet,print-a4,local-only,D,baseline,covered,phase4-tax-review,income-tax,ca-tax-reviewer
burn-rate-calculator,Burn Rate Calculator,burn-rate-calculator,startup,business,calculator,download-csv,local-only,B,baseline,covered,none,startup-metrics,business-domain-reviewer
cac-calculator,CAC Calculator,cac-calculator,startup,ecommerce,calculator,download-csv,local-only,B,baseline,covered,phase5-startup-marketplace,startup-metrics,startup-metrics-reviewer
ltv-calculator,LTV Calculator,ltv-calculator,startup,ecommerce,calculator,download-csv,local-only,B,baseline,covered,phase5-startup-marketplace,startup-metrics,startup-metrics-reviewer
startup-valuation-calculator,Startup Valuation Calculator,startup-valuation-calculator,startup,,worksheet,download-csv,local-only,B,baseline,covered,phase5-startup-marketplace,corporate-scenarios,corporate-legal-reviewer
equity-dilution-calculator,Equity Dilution Calculator,equity-dilution-calculator,startup,,calculator,download-csv,local-only,B,baseline,covered,phase5-startup-marketplace,corporate-scenarios,corporate-legal-reviewer
saas-metrics-calculator,SaaS Metrics Calculator,saas-metrics-calculator,startup,business,worksheet,download-csv,local-only,B,baseline,covered,phase5-startup-marketplace,startup-metrics,startup-metrics-reviewer
emi-calculator,EMI Calculator,emi-calculator,finance,,calculator,download-csv,local-only,B,baseline,covered,none,consumer-finance,finance-method-reviewer
sip-calculator,SIP Calculator,sip-calculator,finance,,calculator,download-csv,local-only,B,baseline,covered,none,consumer-finance,finance-method-reviewer
fd-calculator,FD Calculator,fd-calculator,finance,,calculator,download-csv,local-only,B,baseline,covered,none,consumer-finance,finance-method-reviewer
cagr-calculator,CAGR Calculator,cagr-calculator,finance,business,calculator,none,local-only,A,baseline,covered,none,business-methods,domain-engine-reviewer
xirr-calculator,XIRR Calculator,xirr-calculator,finance,startup,calculator,download-csv,local-only,B,baseline,covered,none,consumer-finance,finance-method-reviewer
loan-comparison,Loan Comparison,loan-comparison,finance,business,comparison,download-csv,local-only,B,baseline,covered,none,consumer-finance,finance-method-reviewer
