tool_id,method_or_policy_basis,source_ids,owner_role,reviewer_role,review_cadence,implementation_gate
margin-calculator,Gross profit = revenue - direct cost; margin = gross profit / revenue,method-business-metrics-v1,domain-engine-owner,domain-engine-reviewer,annual,Independent fixtures and zero-revenue handling
markup-calculator,Markup = selling price - cost divided by cost,method-business-metrics-v1,domain-engine-owner,domain-engine-reviewer,annual,Independent fixtures and zero-cost handling
break-even-calculator,Contribution per unit = price - variable cost; units = fixed cost / contribution,method-business-metrics-v1,domain-engine-owner,domain-engine-reviewer,annual,Single-product scope and non-positive contribution rejection
roi-calculator,ROI = final value - cost divided by cost,method-business-metrics-v1,domain-engine-owner,domain-engine-reviewer,annual,Preserve current tests and time-value limitation
pricing-calculator,Cost-plus and target-margin scenarios with explicit discount and user-selected tax treatment,method-business-metrics-v1,domain-engine-owner,business-domain-reviewer,annual,No GST-rate inference and all assumptions visible
cash-flow-planner,Opening cash + period inflows - period outflows = closing cash,method-business-metrics-v1,domain-engine-owner,business-domain-reviewer,annual,Forecast label; monthly reconciliation; no statutory statement claim
runway-calculator,Runway months = available cash / positive net monthly burn,method-startup-metrics-v1,startup-metrics-owner,business-domain-reviewer,annual,Non-positive burn states and scenario label
gst-calculator,Exclusive and inclusive GST arithmetic resolved through effective-dated supported policy,gst-cbic-notification-09-2025-ctr;gst-council-56th-meeting-2025;gst-pib-current-summary-2026;gst-council-april-2026-rate-update,gst-policy-owner,ca-tax-reviewer,monthly,Existing live scope only; new scope requires named CA sign-off
income-tax-calculator,Applicable-period individual regime calculation with rebate surcharge cess and supported deductions,it-individual-ay-2026-27;it-tds-transition-2026,income-tax-policy-owner,ca-tax-reviewer,monthly,Named CA; Act/date resolver; signed golden fixtures; kill switch
tds-calculator,Applicable payment or credit date + payment type + payee facts + threshold + rate,it-tds-transition-2026;it-tds-rates-ay-2026-27,income-tax-policy-owner,ca-tax-reviewer,monthly,Named CA; old/new Act mapping; unsupported-case stop
hra-calculator,Lowest of actual HRA; rent paid reduced by 10% of basic salary plus eligible DA and turnover-based commission; and 40% or 50% of that salary base for named Rule 2A cities for AY 2026-27,income-tax-hra-rule-2a;income-tax-hra-allowances-guidance;income-tax-hra-itr4-ay-2026-27;income-tax-regime-faq-hra,income-tax-policy-owner,income-tax-payroll-reviewer,monthly,Old-regime section 10(13A) illustration only; rented stable period required; own-house/no-rent and changing periods stop; no return-acceptance claim
corporate-tax-calculator,Entity and regime scenario with surcharge cess and MAT warning,it-domestic-company-ay-2026-27;it-tds-transition-2026,income-tax-policy-owner,ca-tax-reviewer,monthly,Named CA; no eligibility inference; signed cases
presumptive-tax-calculator,Eligibility questionnaire and supported 44AD 44ADA or 44AE estimation,it-presumptive-ay-2026-27;it-tds-transition-2026,income-tax-policy-owner,ca-tax-reviewer,monthly,Named CA; entity/activity/payment-mode gates; signed cases
burn-rate-calculator,Gross burn and net burn calculated over an explicit consistent period,method-startup-metrics-v1,startup-metrics-owner,business-domain-reviewer,annual,One-off item disclosure and monthly normalization tests
cac-calculator,Blended total attributed acquisition cost / all new customers; paid-channel spend / paid-channel customers,method-startup-metrics-v1,startup-metrics-owner,startup-metrics-reviewer,annual,Attribution window; paid spend must be separate; signed golden fixtures
ltv-calculator,ARPU × gross margin / churn as a labelled simple subscription scenario,method-startup-metrics-v1,startup-metrics-owner,startup-metrics-reviewer,annual,Zero or unstable churn warning and scenario range
startup-valuation-calculator,User-selected revenue multiple and pre/post-money scenarios; no definitive fair value,method-startup-metrics-v1;indiacode-companies-section-62;startup-india-playbook-2026,corporate-policy-owner,corporate-legal-reviewer,quarterly,Named corporate reviewer; registered-valuation exclusion
equity-dilution-calculator,Post-money ownership and option-pool scenario arithmetic,method-startup-metrics-v1;indiacode-companies-section-62,corporate-policy-owner,corporate-legal-reviewer,quarterly,Named corporate reviewer; cap table must reconcile to 100 percent
saas-metrics-calculator,MRR ARR ARPU churn GRR NRR CAC payback LTV-to-CAC and Rule of 40 with annualized growth/monthly churn normalization,method-startup-metrics-v1,startup-metrics-owner,startup-metrics-reviewer,annual,Definition sheet; one- and multi-month reconciliation fixtures; signed golden fixtures
emi-calculator,Fixed-rate amortizing-payment formula plus fees and rate-reset scenarios,rbi-emi-reset-faq;method-finance-v1,finance-method-owner,finance-method-reviewer,quarterly,APR and fixed/floating assumptions; amortization reconciliation
sip-calculator,Periodic-contribution future-value illustration using user-assumed rate and frequency,sebi-sip-calculator;method-finance-v1,finance-method-owner,finance-method-reviewer,quarterly,No-guarantee wording and timing-convention fixtures
fd-calculator,Principal compounded at user-entered nominal rate and declared frequency,method-finance-v1,finance-method-owner,finance-method-reviewer,annual,Bank-specific rules and tax excluded unless separately supported
