tool,url,category,purpose,inputs_observed,outputs_observed,classification,formula_source,risk,priority
GST Calculator,/tools/gst-calculator,Billing & Taxes,Calculate inclusive/exclusive GST and split CGST/SGST or IGST.,Amount; GST rate; inclusive/exclusive mode; tax type/jurisdiction inferred from copy.,Taxable value; GST; total; CGST/SGST or IGST; PDF/thermal output; optional UPI QR.,Deterministic client-side likely,Official CBIC/GST Council notifications required; rates must be effective-date aware.,High,P0
GST Invoice Generator,/tools/gst-invoice,Billing & Taxes,Create itemized GST invoices.,"Seller/buyer data, invoice metadata, line items, taxes, UPI details (exact fields unverified).",A4 or thermal invoice PDF with itemization and optional UPI QR.,Client-side document generation likely,CGST/SGST/IGST rules; invoice particulars under GST rules.,High,P0
Payment Receipt Generator,/tools/payment-receipt,Billing & Taxes,Create printable payment receipts.,"Payer/payee, amount/items, payment mode; exact required fields unverified.",58mm/80mm thermal receipt; payment mode such as UPI/Cash/Bank Transfer.,Client-side document generation likely,No core tax formula unless tax fields are offered.,Medium,P0
Rent Receipt Generator,/tools/rent-receipt,Billing & Taxes,Create rent receipts.,"Tenant/landlord, property, rent period, amount likely; exact fields unverified.",Printable/downloadable receipt presumed from product category; not directly verified.,Client-side document generation likely,HRA evidence expectations and stamp/PAN caveats must be sourced.,High,P1
Wage Slip Generator,/tools/wage-slip,Billing & Taxes,Create wage/salary slips for small businesses.,"Employee, period, earnings/deductions likely; exact fields unverified.",80mm thermal wage slip; WhatsApp sharing.,Client-side document generation likely,Payroll deductions must be explicitly configured and sourced if calculated.,High,P1
Maintenance Invoice,/tools/maintenance-invoice,Billing & Taxes,Create maintenance/service invoices.,"Issuer, customer, service lines, charges likely; exact fields unverified.",Invoice document; format unverified.,Client-side document generation likely,GST treatment depends on service and registration context.,High,P1
Electricity Bill Simulator,/tools/electricity-bill,Billing & Taxes,Generate a simulated electricity-bill style document.,Consumer/billing fields unverified.,Mock bill/receipt; disclaimer says not for legal or commercial use.,Template-based client-side likely,No real tariff calculation verified.,Very high misuse,Do not build without redesign
Mobile Bill Simulator,/tools/mobile-bill,Billing & Taxes,Generate a simulated mobile-bill style document.,Subscriber/billing fields unverified.,Mock mobile bill.,Template-based client-side likely,No carrier billing integration verified.,Very high misuse,Do not build without redesign
Broadband Bill Simulator,/tools/broadband-bill?lang=en,Billing & Taxes,Generate a simulated broadband-bill style document.,Subscriber/billing fields unverified.,Mock broadband bill.,Template-based client-side likely,No ISP billing integration verified.,Very high misuse,Do not build without redesign
Letterhead Generator,/tools/letterhead,Print & Logistics,Create branded business letterheads.,"Logo, header/business details, reference/content fields.",A4 printable PDF.,Client-side document generation likely,No formula; privacy of uploaded logo/content is primary concern.,Low,P0
Logistics Documents,/tools/logistics-documents,Print & Logistics,Create delivery challans and price/barcode labels.,"Consignor/consignee, items, shipment data, product/price/barcode values likely.",Delivery challan and 12-up price-tag sheet.,Client-side document generation likely,GST/document particulars and barcode standards need separate validation.,Medium-high,P1
Media Suite,/tools/media-suite,Media & Images,"Convert, resize and compress business images.",Image upload; output format/size/quality controls likely.,WebP and resized/compressed image download.,Client-side verified by public copy,No formula; preserve metadata/privacy choices.,Low,P1
Social Post Generator,/tools/social-post-generator,Marketing & Barcodes,Convert raw notes into social-media copy.,Raw notes/content and likely platform/tone; exact fields unverified.,Instagram/Facebook-ready copy.,"AI unknown; could be LLM, rules or templates",Model/provider and privacy disclosures required if network-based.,Medium,P2
UPI Standee Generator,/tools/upi-standee,Marketing & Barcodes,Create a printable UPI payment standee.,"UPI ID, payee name, optional amount/branding likely.",QR standee/printable document.,Client-side QR/document generation likely,NPCI UPI deep-link format; validate payee/amount encoding.,Medium,P0
URL QR Generator,/tools/url-qr,Marketing & Barcodes,Generate branded QR codes for URLs.,"URL, color, size.",PNG/SVG QR.,Client-side claimed,QR standard and URL validation.,Low-medium,P0
vCard QR Generator,/tools/vcard-qr,Marketing & Barcodes,Encode contact details into a vCard QR.,Name/contact/company/address fields likely; exact version unverified.,Contact QR image.,Client-side claimed,vCard format version and escaping rules.,Medium privacy,P1
Wi-Fi QR Generator,/tools/wifi-qr,Marketing & Barcodes,Generate a QR that joins a Wi-Fi network.,"SSID, security type, password, hidden-network flag likely.",Wi-Fi QR using WIFI payload syntax.,Client-side claimed,Escaping rules for special characters are essential.,Medium privacy,P1
Menu Creator,/tools/menu-creator,Marketing & Barcodes,Create restaurant/shop menu cards.,"Business identity, sections/items/prices, style fields likely.",Menu document/image/PDF; exact export unverified.,Client-side document generation likely,No formula.,Low,P1
QR & Barcode Scanner,/tools/qr-barcode-scanner,Marketing & Barcodes,Read QR/barcodes from camera or image.,Camera or uploaded image presumed; not directly verified.,Decoded value/action.,Client-side library likely,"Permission, malicious URL and privacy safeguards required.",Medium-high security,P1
HSN/SAC Finder,/tools/hsn-sac-finder,Billing & Taxes,Search commodity/service classification codes.,Keyword or code likely.,Matching HSN/SAC codes/descriptions.,Static dataset or API unknown,Official tariff/CBIC dataset with version date required.,High regulatory,P1
Area Converter,/tools/area-converter,Store Operations,Convert Indian and metric/imperial land units.,"Value, source unit, target unit; region selector not observed.",Converted value across Bigha/Katha/Gaj/Acre/Hectare/sq ft/Guntha.,Deterministic client-side likely,Regional definitions required for Bigha/Katha.,High accuracy,P1
Business Days Calculator,/tools/business-days-calculator,Store Operations,Count working days between dates.,Start/end date; weekend/holiday configuration unverified.,Working-day count.,Deterministic client-side likely,Calendar rules and holiday dataset must be disclosed.,Medium,P1
CAGR Calculator,/tools/cagr-calculator,Financial Calculators,Calculate compound annual growth rate.,"Beginning value, ending value, period.",Annualized percentage growth.,Deterministic client-side likely,(Ending/Beginning)^(1/n)-1.,Low-medium,P0
EBITDA Calculator,/tools/ebitda-calculator,Financial Calculators,"Estimate earnings before interest, tax, depreciation and amortization.",Revenue/expenses or net income adjustments; exact mode unverified.,EBITDA and possibly margin.,Deterministic client-side likely,Clearly define accounting inputs and exclusions.,Medium,P1
ROI Calculator,/tools/roi-calculator,Financial Calculators,Calculate return on investment.,Investment cost and gain/value.,ROI percentage and possibly profit.,Deterministic client-side likely,(Gain-Cost)/Cost × 100; disclose time-value limitation.,Low-medium,P0
Salary Calculator,/tools/salary-calculator,Financial Calculators,"Estimate take-home salary after PF, PT and TDS.",Salary components and deductions likely; FY/state/regime not verified.,Take-home salary and deduction breakdown.,Deterministic + regulatory data likely,"Income-tax FY/regime, EPF wage definition, state PT and cess/surcharge rules.",Very high accuracy,P2 after policy engine
Currency Converter,/tools/currency-converter,Financial Calculators,Convert INR and foreign currencies using claimed real-time rates.,"Amount, source currency, target currency.",Converted amount/rate.,API-dependent likely,"Provider, timestamp, rate type and cache/fallback must be shown.",Medium data dependency,P2
