tool,formula_or_rule,independent_test,website_result,verdict,source
GST Calculator,Exclusive: tax = taxable × rate; total = taxable + tax. Inclusive: taxable = gross ÷ (1 + rate); tax = gross - taxable. Intra-state split normally divides applicable GST into CGST and SGST; inter-state uses IGST.,"₹1,000 exclusive at 18% => ₹180 tax, ₹1,180 total. ₹1,180 inclusive at 18% => ₹1,000 taxable, ₹180 tax.",Not interactively observed,Cannot verify calculation; advertised fixed rate choices appear outdated for 2026 default UX.,GST Council 56th meeting/PIB reform communications effective 22 Sep 2025; subsequent official updates.
CAGR Calculator,CAGR = (ending value ÷ beginning value)^(1/years) - 1.,"₹100,000 to ₹161,051 over 5 years ≈ 10.00%.",Not interactively observed,Expected standard formula; implementation/rounding unverified.,Standard financial mathematics; document formula and edge cases.
ROI Calculator,ROI = (gain from investment - investment cost) ÷ investment cost × 100.,"Cost ₹100,000; final gain/value ₹125,000 => ROI 25%.",Not interactively observed,Expected standard formula; timing/cash-flow limitations must be disclosed.,Standard financial ratio definition.
EBITDA Calculator,"Either operating approach: revenue - operating expenses excluding interest, tax, depreciation and amortization; or reconciliation: net income + I + T + D + A.","Revenue ₹10,00,000; eligible operating costs ₹6,50,000 => EBITDA ₹3,50,000.",Not interactively observed,Cannot verify because input model is not publicly visible.,Accounting policy definitions must be explicit.
Area Converter,"Stable SI/imperial conversions can be fixed; Guntha commonly 1,089 sq ft. Bigha and Katha are region-dependent and must not use one universal factor.","1 acre = 43,560 sq ft; 40 guntha = 1 acre if using 1,089 sq ft per guntha.",Snippet exposes units but not regional logic.,Potentially misleading unless region is required and definitions are shown.,Use state land-record/revenue references for local units.
Salary Calculator,"Take-home depends on FY tax regime, taxable components, standard deduction, surcharge/cess, EPF wage definition, employer policy and state professional tax.","No universal test case is valid without state, FY, regime and salary structure.",Not interactively observed,Cannot verify; high regulatory risk.,"Income Tax Department, EPFO and state PT notifications."
Business Days Calculator,Count dates excluding configured weekends and optionally a declared holiday calendar.,"Result varies by inclusion rules, weekend pattern and holiday dataset.",Not interactively observed,Cannot verify; methodology must be shown.,Product-defined calendar plus explicit holiday source.
Currency Converter,"converted = amount × quoted rate; rate must have provider, timestamp and direction.",Cannot create a durable expected value for a real-time rate.,Claims real-time rates; no provider observed.,API/provider and freshness unknown.,Named FX provider and timestamp required.
HSN/SAC Reference Samples,"Match = normalized query contained in bundled code, description or keyword fields.","bread => bundled code 1905; goods filter excludes service rows.",Bundled fixture result is traceable by dataset version.,Controlled beta sample; not an exhaustive finder or a classification/rate decision.,cbic-hsn-sac-reference-2026; hsn-sac-reference-2026-04-provisional
GST Filing Due-date Calendar,"Reference due date = next calendar month after selected return period + versioned return day.","GSTR-1 regular monthly July 2026 => 11 August 2026.",Fixture result is deterministic and date-stamped.,Controlled beta; notifications and extensions remain outside the result.,gst-portal-return-calendar-2026; gst-calendar-reference-fy-2026-27-provisional
Depreciation Calculator,"Companies Act SLM = (cost - residual) / useful life × days / 365; Income Tax WDV = opening WDV × rate × 50% when used below 180 days, otherwise the full entered rate.","₹80,000 opening WDV at 15% => ₹6,000 below 180 days and ₹12,000 at 180 days.",Separate modes and the 179/180-day boundary are tested.,Controlled beta arithmetic; no statutory rate or useful-life inference.,mca-schedule-ii-depreciation-reference; income-tax-section-32-depreciation-reference; depreciation-methods-2026-reference
Maharashtra Professional Tax Calculator,"Monthly reference PT applies the versioned Maharashtra slab to declared monthly salary; annual illustration sums April through March and applies ₹300 in February for the upper slab.","₹50,000 monthly declared salary => ₹200 in ordinary months, ₹300 in February and ₹2,500 annually.",State-specific monthly and annual fixtures are deterministic.,Controlled beta; salary definition, exemptions and notification require payroll review.,mahagst-profession-tax-rate-schedule-2026; maharashtra-pt-reference-2026-provisional
MSME Late-payment Interest Calculator,"Eligibility is reported separately; eligible reference interest uses declared principal, 3× bank rate, monthly rest and remainder-day arithmetic after the declared due date, retaining the bank-rate effective date.","Micro enterprise with 45 agreed days reports overdue days only after the due date.",Eligibility and arithmetic have separate assertions.,Controlled beta scenario estimate; does not create a claim or determine MSME status.,msme-delayed-payment-section-16-reference; rbi-bank-rate-reference; msmed-section-16-reference-2026
Currency Converter,"Converted amount = amount × manual or explicitly fetched ECB reference rate; quote date, provider, rate type and explicit not-cached state are retained.","₹1,000 × declared 0.012 USD/INR = USD 12.",Manual fixture is deterministic; network fixture requires mocked provider response.,Network failure never silently reuses a cached quote.,ecb-reference-rates-2026
