source_id,title,publisher,authority_class,source_type,locator,published_or_version,effective_from,effective_to,last_checked,supports,owner_role,review_cadence,status
method-business-metrics-v1,Business economics methodology v1,KarobarKit,controlled-internal,methodology,docs/product-spec/Business_Toolkit_for_India_Implementation_Plan_2026-08-09.md,1.0,2026-08-09,,2026-08-09,Margin; markup; break-even; ROI; pricing; cash flow; ROAS; marketplace margin; COD cost,domain-engine-owner,annual,approved-baseline
method-startup-metrics-v1,Startup and SaaS metrics methodology v1,KarobarKit,controlled-internal,methodology,docs/product-spec/Business_Toolkit_for_India_Implementation_Plan_2026-08-09.md,1.0,2026-08-09,,2026-08-09,Burn; runway; CAC; LTV; valuation scenarios; dilution; SaaS metrics,startup-metrics-owner,annual,approved-baseline
method-finance-v1,Consumer finance calculation methodology v1,KarobarKit,controlled-internal,methodology,docs/product-spec/Business_Toolkit_for_India_Implementation_Plan_2026-08-09.md,1.0,2026-08-09,,2026-08-09,EMI; FD; CAGR; XIRR; loan comparison assumptions,finance-method-owner,annual,approved-baseline
method-documents-v1,Business document safety and generation methodology v1,KarobarKit,controlled-internal,methodology,docs/product-spec/Business_Toolkit_for_India_Implementation_Plan_2026-08-09.md,1.0,2026-08-09,,2026-08-09,Invoice; quotation; business card; invoice number; letterhead; receipt,document-standards-owner,annual,approved-baseline
method-ai-v1,AI drafting and deterministic authority methodology v1,KarobarKit,controlled-internal,methodology,docs/product-spec/tool-contract-v2.md,1.0,2026-08-09,,2026-08-09,Business name; pricing explanation; startup cost categories; business plan drafts,ai-product-owner,quarterly,approved-baseline
gst-cbic-notification-09-2025-ctr,Notification No. 09/2025 Central Tax Rate,Central Board of Indirect Taxes and Customs,official-government,notification,https://taxinformation.cbic.gov.in/view-pdf/1010436/ENG/Notifications,09/2025,2025-09-22,,2026-08-08,GST rate schedule context and effective date,gst-policy-owner,monthly,active
gst-council-56th-meeting-2025,56th GST Council meeting press release,GST Council and Press Information Bureau,official-government,press-release,https://gstcouncil.gov.in/sites/default/files/2025-09/press_release_press_information_bureau.pdf,56th-meeting,2025-09-22,,2026-08-08,GST headline rate structure and implementation context,gst-policy-owner,monthly,active
gst-pib-current-summary-2026,Nine Years of GST current summary,Press Information Bureau,official-government,official-summary,https://static.pib.gov.in/WriteReadData/specificdocs/documents/2026/jul/doc202671908001.pdf,2026-summary,2025-09-22,,2026-08-08,Current headline rates and special-rate limitations,gst-policy-owner,monthly,active
gst-council-april-2026-rate-update,GST Council April 2026 newsletter,GST Council,official-government,rate-update,https://gstcouncil.gov.in/sites/default/files/2026-05/newsletter_april_issue.pdf,April-2026,2026-05-01,,2026-08-08,Subsequent GST amendment monitoring,gst-policy-owner,monthly,active
cbic-cgst-rule-46,CGST Rules Rule 46 tax invoice particulars,Central Board of Indirect Taxes and Customs,official-government,rule,https://cbic-gst.gov.in/pdf/15102020_CGST-Rules-2017-Part-A-Rules.pdf,Rule-46,2017-07-01,,2026-08-09,GST tax invoice particulars and numbering constraints,gst-policy-owner,quarterly,active-review-current-amendments
it-individual-ay-2026-27,Salaried Individuals for AY 2026-27,Income Tax Department,official-government,portal-guidance,https://www.incometax.gov.in/iec/foportal/help/individual/return-applicable-1?fromCampaign=true,AY-2026-27,2025-04-01,2026-03-31,2026-08-09,Individual slabs; regime; rebate; surcharge; cess; forms,income-tax-policy-owner,monthly,active-for-ay
it-tds-transition-2026,TDS compliance transition guidance,Income Tax Department,official-government,portal-faq,https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/tds-compliance,2026-transition,2026-04-01,,2026-08-09,Income-tax Act transition by payment or credit date,income-tax-policy-owner,monthly,active
it-tds-rates-ay-2026-27,TDS rates for AY 2026-27,Income Tax Department,official-government,rate-table,https://www.incometaxindia.gov.in/tax-rates,AY-2026-27,2025-04-01,2026-03-31,2026-08-09,TDS rates and rate table navigation,income-tax-policy-owner,monthly,active-for-ay
it-hra-validation-ay-2026-27,CBDT ITR-4 validation rules for AY 2026-27,Central Board of Direct Taxes,official-government,validation-rules,https://www.incometax.gov.in/iec/foportal/sites/default/files/2026-05/CBDT_e-Filing_ITR%204_Validation%20Rules_AY%202026-27.pdf,AY-2026-27,2025-04-01,2026-03-31,2026-08-09,HRA lowest-of-three validation and salary basis,income-tax-policy-owner,monthly,active-for-ay
it-domestic-company-ay-2026-27,Domestic Company for AY 2026-27,Income Tax Department,official-government,portal-guidance,https://www.incometax.gov.in/iec/foportal/help/company/return-applicable,AY-2026-27,2025-04-01,2026-03-31,2026-08-09,Corporate regimes; surcharge; cess; MAT; limitations,income-tax-policy-owner,monthly,active-for-ay
it-presumptive-ay-2026-27,ITR-4 Sugam FAQs for AY 2026-27,Income Tax Department,official-government,portal-faq,https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/itr%204-faqs,AY-2026-27,2025-04-01,2026-03-31,2026-08-09,44AD; 44ADA; 44AE eligibility context,income-tax-policy-owner,monthly,active-for-ay
epfo-faq-2026,EPFO frequently asked questions,Employees Provident Fund Organisation,official-government,portal-faq,https://www.epfindia.gov.in/site_en/FAQ.php,current-page,,,2026-08-09,EPF contribution components; wage ceiling; exceptions,payroll-policy-owner,quarterly,active
labour-codes-faq-2026,FAQs on Labour Codes,Ministry of Labour and Employment,official-government,official-faq,https://www.labour.gov.in/static/uploads/2026/01/de4758d5bfeffc456d7de97a801891b0.pdf,2026-01,,,2026-08-09,Gratuity events; service; wages; fixed-term treatment,payroll-policy-owner,quarterly,active
it-perquisites-2026,Perquisites including ESOP tax treatment,Income Tax Department,official-government,portal-guidance,https://www.incometaxindia.gov.in/w/perquisites,2026-04-30,,,2026-08-09,ESOP perquisite and eligible-startup deferral context,income-tax-policy-owner,quarterly,active
indiacode-companies-section-62,Companies Act section 62 further issue of share capital,India Code,official-government,statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_22_29_00008_201318_1517807327856&orderno=64&sectionId=1252&sectionno=62,current-consolidation,,,2026-08-09,Further share issue and registered-valuer requirement,corporate-policy-owner,quarterly,active
startup-india-playbook-2026,Startup Playbook for DPIIT recognised startups,Startup India,official-government,official-playbook,https://www.startupindia.gov.in/content/dam/startupindia/Verify-Rec-Mapping/Startup-Playbook-Exclusive-Benefits-for-DPIIT-Recognised-Startups-in-India-April-2026.pdf,April-2026,,,2026-08-09,Startup-specific company and ESOP relaxations,corporate-policy-owner,quarterly,active
sebi-sip-calculator,SEBI Investor SIP Calculator,Securities and Exchange Board of India,official-regulator,official-calculator,https://investor.sebi.gov.in/calculators/sip_calculator.html,current-page,,,2026-08-09,SIP future-value illustration and no-guarantee wording,finance-method-owner,quarterly,active
rbi-emi-reset-faq,RBI FAQ on floating-rate EMI resets,Reserve Bank of India,official-regulator,regulatory-faq,https://www.rbi.org.in/scripts/FAQView.aspx?Id=170,2025-01-10,,,2026-08-09,APR; fees; fixed or floating rate; reset impact; statements,finance-method-owner,quarterly,active
amazon-india-fees-2026,Amazon India seller fees and pricing,Amazon Seller India,official-vendor,vendor-rate-schedule,https://sell.amazon.in/fees-and-pricing?mons_sel_locale=en_IN,2026-current,,,2026-08-09,Referral; closing; fulfilment; weight handling; estimate limitations,marketplace-policy-owner,weekly-monitor-monthly-review,active
flipkart-seller-fees-2026,Flipkart seller fees and commission,Flipkart Seller,official-vendor,vendor-rate-schedule,https://seller.flipkart.com/fees-and-commission,2026-current,,,2026-08-09,Commission; fixed; collection; fulfilment; shipping; estimate limitations,marketplace-policy-owner,weekly-monitor-monthly-review,active
