tool_id,name,canonical_slug,primary_category,secondary_categories,tool_kind,execution_mode,risk_tier,current_status,target_phase,policy_family,reviewer_role
margin-calculator,Margin Calculator,margin-calculator,business,,calculator,local-only,A,planned,2,business-methods,domain-engine-reviewer
markup-calculator,Markup Calculator,markup-calculator,business,,calculator,local-only,A,planned,2,business-methods,domain-engine-reviewer
break-even-calculator,Break-even Calculator,break-even-calculator,business,,calculator,local-only,A,planned,2,business-methods,domain-engine-reviewer
roi-calculator,ROI Calculator,roi-calculator,business,,calculator,local-only,A,live,1,business-methods,domain-engine-reviewer
pricing-calculator,Pricing Calculator,pricing-calculator,business,ecommerce,worksheet,local-only,B,planned,2,business-methods,business-domain-reviewer
cash-flow-planner,Cash Flow Planner,cash-flow-planner,business,startup,worksheet,local-only,B,planned,2,business-methods,business-domain-reviewer
runway-calculator,Runway Calculator,runway-calculator,business,startup,calculator,local-only,B,planned,2,startup-metrics,business-domain-reviewer
gst-calculator,GST Calculator,gst-calculator,gst-tax,,calculator,local-only,D,live,1,gst,ca-tax-reviewer
income-tax-calculator,Income Tax Calculator,income-tax-calculator,gst-tax,hr-salary,calculator,local-only,D,planned,4,income-tax,ca-tax-reviewer
tds-calculator,TDS Calculator,tds-calculator,gst-tax,hr-salary,calculator,local-only,D,planned,4,income-tax,ca-tax-reviewer
hra-calculator,HRA Calculator,hra-calculator,gst-tax,hr-salary,calculator,local-only,D,planned,4,income-tax,ca-tax-reviewer
corporate-tax-calculator,Corporate Tax Calculator,corporate-tax-calculator,gst-tax,business,calculator,local-only,D,planned,4,income-tax,ca-tax-reviewer
presumptive-tax-calculator,Presumptive Tax Calculator,presumptive-tax-calculator,gst-tax,business,worksheet,local-only,D,planned,4,income-tax,ca-tax-reviewer
burn-rate-calculator,Burn Rate Calculator,burn-rate-calculator,startup,business,calculator,local-only,B,planned,2,startup-metrics,business-domain-reviewer
cac-calculator,CAC Calculator,cac-calculator,startup,ecommerce,calculator,local-only,B,beta,5,startup-metrics,startup-metrics-reviewer
ltv-calculator,LTV Calculator,ltv-calculator,startup,ecommerce,calculator,local-only,B,beta,5,startup-metrics,startup-metrics-reviewer
startup-valuation-calculator,Startup Valuation Calculator,startup-valuation-calculator,startup,,worksheet,local-only,B,beta,5,corporate-scenarios,corporate-legal-reviewer
equity-dilution-calculator,Equity Dilution Calculator,equity-dilution-calculator,startup,,calculator,local-only,B,beta,5,corporate-scenarios,corporate-legal-reviewer
saas-metrics-calculator,SaaS Metrics Calculator,saas-metrics-calculator,startup,business,worksheet,local-only,B,beta,5,startup-metrics,startup-metrics-reviewer
emi-calculator,EMI Calculator,emi-calculator,finance,,calculator,local-only,B,planned,3,consumer-finance,finance-method-reviewer
sip-calculator,SIP Calculator,sip-calculator,finance,,calculator,local-only,B,planned,3,consumer-finance,finance-method-reviewer
fd-calculator,FD Calculator,fd-calculator,finance,,calculator,local-only,B,planned,3,consumer-finance,finance-method-reviewer
cagr-calculator,CAGR Calculator,cagr-calculator,finance,business,calculator,local-only,A,live,1,business-methods,domain-engine-reviewer
xirr-calculator,XIRR Calculator,xirr-calculator,finance,startup,calculator,local-only,B,planned,3,consumer-finance,finance-method-reviewer
loan-comparison,Loan Comparison,loan-comparison,finance,business,comparison,local-only,B,planned,3,consumer-finance,finance-method-reviewer
amazon-fees-calculator,Amazon Fees Calculator,amazon-fees-calculator,ecommerce,,data-backed,local-with-bundled-data,C,beta,5,marketplace-fees,marketplace-policy-reviewer
flipkart-fees-calculator,Flipkart Fees Calculator,flipkart-fees-calculator,ecommerce,,data-backed,local-with-bundled-data,C,beta,5,marketplace-fees,marketplace-policy-reviewer
marketplace-margin-calculator,Marketplace Margin Calculator,marketplace-margin-calculator,ecommerce,business,calculator,local-only,B,planned,2,business-methods,ecommerce-domain-reviewer
